# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1867

 -> 33 (5000) [1]
13,33,21,45 -> 32 (10000) [5]
13,33,21,34 -> 32 (10000) [5]
13,33,21,35 -> 32 (10000) [5]
13,33,21,22 -> 32 (10000) [5]
13,33,21,24 -> 32 (10000) [5]
13,33,21,25 -> 32 (10000) [5]
13,33,21,12 -> 32 (10000) [5]
13,33,21,15 -> 32 (10000) [5]
13,33,22 -> 23 (10000) [5]
13,33,22,55 -> 32 (10000) [5]
13,33,22,42 -> 32 (10000) [5]
13,33,22,43 -> 32 (10000) [5]
13,33,22,45 -> 32 (10000) [5]
13,33,22,34 -> 32 (10000) [5]
13,33,22,35 -> 32 (10000) [5]
13,33,22,21 -> 32 (10000) [5]
13,33,22,24 -> 32 (10000) [5]
13,33,22,25 -> 32 (10000) [5]
13,33,22,12 -> 32 (10000) [5]
13,33,22,15 -> 32 (10000) [5]
13,33,23 -> 42 (5039) [5]
13,33,23,51 -> 44 (17621) [5]
13,33,23,42 -> 34 (10000) [5]
13,33,23,41 -> 44 (10000) [5]
13,33,23,32 -> 34 (3636) [5]
13,33,23,31 -> 44 (18221) [5]
13,33,23,21 -> 42 (17756) [5]
13,33,23,22 -> 42 (10000) [5]
13,33,23,11 -> 42 (14711) [5]
13,33,23,12 -> 42 (10000) [5]
13,33,22,51 -> 34 (10000) [5]
13,33,22,41 -> 34 (10000) [5]
13,33,22,32 -> 34 (10000) [5]
13,33,22,31 -> 34 (10000) [5]
13,33,22,14 -> 34 (10000) [5]
13,33,21,51 -> 42 (10000) [5]
13,33,21,41 -> 42 (10000) [5]
13,33,21,31 -> 42 (17761) [5]
13,33,21,23 -> 42 (10000) [5]
13,33,21,14 -> 51 (10000) [5]
13,33,21,11 -> 42 (10000) [5]
13,33,11 -> 23 (10000) [5]
13,33,11,55 -> 32 (10000) [5]
13,33,11,42 -> 32 (10000) [5]
13,33,11,43 -> 32 (10000) [5]
13,33,11,44 -> 32 (10000) [5]
13,33,11,45 -> 32 (10000) [5]
13,33,11,34 -> 32 (10000) [5]
13,33,11,35 -> 32 (10000) [5]
13,33,11,24 -> 32 (10000) [5]
13,33,11,25 -> 32 (10000) [5]
13,33,11,12 -> 32 (10000) [5]
13,33,11,15 -> 32 (10000) [5]
13,33,12 -> 42 (10000) [5]
13,33,12,55 -> 24 (13386) [5]
13,33,12,43 -> 32 (10000) [5]
13,33,12,44 -> 23 (10000) [5]
13,33,12,45 -> 44 (10000) [5]
13,33,12,34 -> 32 (10000) [5]
13,33,12,35 -> 55 (10000) [5]
13,33,12,21 -> 55 (10000) [5]
13,33,12,22 -> 24 (15033) [5]
13,33,12,23 -> 44 (10000) [5]
13,33,12,24 -> 44 (10000) [5]
13,33,12,25 -> 32 (10000) [5]
13,33,12,11 -> 44 (10000) [5]
13,33,12,15 -> 44 (15331) [5]
13,33,11,51 -> 34 (10000) [5]
13,33,11,41 -> 34 (10000) [5]
13,33,11,32 -> 34 (10000) [5]
13,33,11,31 -> 34 (10000) [5]
13,33,11,21 -> 34 (10000) [5]
13,33,11,14 -> 34 (10000) [5]
33,22 -> 42 (4224) [5]
33,22,45 -> 41 (4126) [5]
33,22,45,44 -> 34 (10000) [5]
33,22,45,43 -> 35 (10000) [5]
33,22,45,35 -> 23 (10000) [5]
33,22,45,34 -> 23 (10000) [5]
33,22,45,32 -> 23 (10000) [5]
33,22,45,31 -> 23 (10000) [5]
33,22,45,24 -> 23 (10000) [5]
33,22,45,23 -> 15 (10000) [5]
33,22,45,21 -> 15 (206) [5]
33,22,45,15 -> 23 (10000) [5]
33,22,45,14 -> 21 (1262) [5]
33,22,45,13 -> 23 (10000) [5]
33,22,45,12 -> 23 (10000) [5]
33,22,45,11 -> 23 (10000) [5]
33,22,44 -> 35 (10000) [5]
33,22,44,45 -> 32 (10000) [5]
33,22,44,34 -> 54 (10000) [5]
33,22,44,14 -> 54 (10000) [5]
33,22,44,23 -> 54 (10000) [5]
33,22,44,13 -> 54 (10000) [5]
33,22,44,24 -> 45 (10000) [5]
33,22,44,12 -> 54 (10000) [5]
33,22,44,15 -> 45 (10000) [5]
33,22,44,11 -> 45 (10000) [5]
33,22,34 -> 53 (10000) [5]
33,22,34,54 -> 14 (10000) [5]
33,22,34,44 -> 54 (10000) [5]
33,22,34,14 -> 54 (10000) [5]
33,22,34,13 -> 54 (10000) [5]
33,22,34,42 -> 54 (10000) [5]
33,22,34,32 -> 54 (10000) [5]
33,22,34,12 -> 54 (10000) [5]
33,22,34,51 -> 54 (10000) [5]
33,22,34,41 -> 54 (10000) [5]
33,22,34,31 -> 54 (10000) [5]
33,22,34,21 -> 54 (10000) [5]
33,22,34,11 -> 54 (10000) [5]
33,22,14 -> 32 (10000) [5]
33,22,14,54 -> 34 (10000) [5]
33,22,14,44 -> 34 (10000) [5]
33,22,14,34 -> 54 (10000) [5]
33,22,14,53 -> 34 (10000) [5]
33,22,14,43 -> 34 (10000) [5]
33,22,14,23 -> 34 (10000) [5]
33,22,14,42 -> 34 (10000) [5]
33,22,14,12 -> 34 (10000) [5]
33,22,14,51 -> 34 (10000) [5]
33,22,14,41 -> 34 (10000) [5]
33,22,14,31 -> 34 (10000) [5]
33,22,14,21 -> 34 (10000) [5]
33,22,14,11 -> 34 (10000) [5]
33,22,35 -> 41 (3861) [5]
33,22,35,45 -> 23 (10000) [5]
33,22,35,44 -> 23 (10000) [5]
33,22,35,43 -> 14 (10000) [5]
33,22,35,34 -> 23 (10000) [5]
33,22,35,32 -> 23 (10000) [5]
33,22,35,31 -> 23 (10000) [5]
33,22,35,24 -> 23 (10000) [5]
33,22,35,23 -> 15 (10000) [5]
33,22,35,21 -> 15 (-94) [5]
33,22,35,15 -> 23 (10000) [5]
33,22,35,14 -> 21 (1752) [5]
33,22,35,13 -> 23 (10000) [5]
33,22,35,12 -> 23 (10000) [5]
33,22,35,11 -> 23 (10000) [5]
33,22,34,35 -> 23 (10000) [5]
33,22,34,24 -> 35 (10000) [5]
33,22,34,23 -> 35 (10000) [5]
33,22,34,15 -> 35 (10000) [5]
33,22,23 -> 54 (10000) [5]
33,22,23,44 -> 53 (10000) [5]
33,22,23,14 -> 53 (10000) [5]
33,22,23,53 -> 32 (10000) [5]
33,22,23,43 -> 53 (10000) [5]
33,22,23,13 -> 53 (10000) [5]
33,22,23,42 -> 53 (10000) [5]
33,22,23,32 -> 53 (10000) [5]
33,22,23,12 -> 53 (10000) [5]
33,22,23,51 -> 53 (10000) [5]
33,22,23,41 -> 53 (10000) [5]
33,22,23,31 -> 53 (10000) [5]
33,22,23,11 -> 53 (10000) [5]
33,22,13 -> 32 (10000) [5]
33,22,13,54 -> 34 (10000) [5]
33,22,13,44 -> 34 (10000) [5]
33,22,13,34 -> 54 (10000) [5]
33,22,13,53 -> 34 (10000) [5]
33,22,13,43 -> 34 (10000) [5]
33,22,13,23 -> 34 (10000) [5]
33,22,13,42 -> 34 (10000) [5]
33,22,13,12 -> 34 (10000) [5]
33,22,13,51 -> 34 (10000) [5]
33,22,13,41 -> 34 (10000) [5]
33,22,13,21 -> 34 (10000) [5]
33,22,13,11 -> 34 (10000) [5]
33,22,24 -> 45 (3526) [5]
33,22,24,44 -> 35 (10000) [5]
33,22,24,43 -> 35 (10000) [5]
33,22,24,41 -> 35 (10000) [5]
33,22,24,35 -> 23 (10000) [5]
33,22,24,34 -> 35 (10000) [5]
33,22,24,32 -> 35 (10000) [5]
33,22,24,31 -> 35 (10000) [5]
33,22,24,21 -> 35 (10000) [5]
33,22,24,15 -> 35 (10000) [5]
33,22,24,14 -> 35 (10000) [5]
33,22,24,13 -> 35 (10000) [5]
33,22,24,12 -> 35 (10000) [5]
33,22,24,11 -> 35 (10000) [5]
33,22,23,35 -> 15 (10000) [5]
33,22,23,34 -> 35 (10000) [5]
33,22,23,15 -> 35 (10000) [5]
33,22,12 -> 51 (10000) [5]
33,22,12,54 -> 42 (10000) [5]
33,22,12,44 -> 42 (10000) [5]
33,22,12,34 -> 42 (10000) [5]
33,22,12,14 -> 42 (10000) [5]
33,22,12,53 -> 42 (10000) [5]
33,22,12,43 -> 42 (10000) [5]
33,22,12,23 -> 42 (10000) [5]
33,22,12,13 -> 42 (10000) [5]
22,33 -> 52 (4092) [5]
22,33,11 -> 54 (17531) [5]
22,33,11,12 -> 53 (10000) [5]
22,33,11,13 -> 53 (10000) [5]
22,33,11,44 -> 53 (10000) [5]
22,33,11,24 -> 53 (10000) [5]
22,33,11,14 -> 53 (10000) [5]
22,33,11,55 -> 53 (10000) [5]
22,33,11,45 -> 53 (10000) [5]
22,33,11,35 -> 53 (10000) [5]
22,33,11,25 -> 53 (10000) [5]
22,33,11,15 -> 53 (10000) [5]
22,33,12 -> 54 (16881) [5]
22,33,12,11 -> 53 (10000) [5]
22,33,12,13 -> 53 (10000) [5]
22,33,12,44 -> 53 (10000) [5]
22,33,12,24 -> 53 (10000) [5]
22,33,12,14 -> 53 (10000) [5]
22,33,12,55 -> 53 (10000) [5]
22,33,12,45 -> 53 (10000) [5]
22,33,12,35 -> 53 (10000) [5]
22,33,12,25 -> 53 (10000) [5]
22,33,12,15 -> 53 (10000) [5]
22,33,13 -> 23 (10000) [5]
22,33,13,11 -> 42 (10000) [5]
22,33,13,12 -> 54 (18533) [5]
22,33,13,54 -> 32 (10000) [5]
22,33,13,44 -> 42 (10000) [5]
22,33,13,24 -> 54 (19303) [5]
22,33,13,14 -> 11 (10000) [5]
22,33,13,55 -> 54 (17631) [5]
22,33,13,45 -> 54 (20748) [5]
22,33,13,35 -> 54 (22171) [5]
22,33,13,25 -> 54 (17631) [5]
22,33,13,15 -> 54 (18533) [5]
22,33,45 -> 23 (10000) [5]
22,33,45,11 -> 24 (10000) [5]
22,33,45,21 -> 24 (10000) [5]
22,33,45,31 -> 24 (10000) [5]
22,33,45,44 -> 24 (10000) [5]
22,33,45,42 -> 24 (10000) [5]
22,33,45,41 -> 24 (10000) [5]
22,33,45,55 -> 24 (10000) [5]
22,33,45,54 -> 24 (10000) [5]
22,33,45,53 -> 24 (10000) [5]
22,33,45,52 -> 24 (10000) [5]
22,33,45,51 -> 24 (10000) [5]
22,33,44 -> 42 (10000) [5]
22,33,44,11 -> 32 (10000) [5]
22,33,44,12 -> 32 (10000) [5]
22,33,44,13 -> 32 (10000) [5]
22,33,44,45 -> 23 (10000) [5]
22,33,44,24 -> 32 (10000) [5]
22,33,44,14 -> 32 (10000) [5]
22,33,44,35 -> 32 (10000) [5]
22,33,44,25 -> 32 (10000) [5]
22,33,44,15 -> 32 (10000) [5]
22,33,24 -> 54 (19303) [5]
22,33,24,11 -> 53 (10000) [5]
22,33,24,12 -> 53 (10000) [5]
22,33,24,13 -> 53 (10000) [5]
22,33,24,44 -> 53 (10000) [5]
22,33,24,14 -> 53 (10000) [5]
22,33,24,55 -> 53 (10000) [5]
22,33,24,45 -> 53 (10000) [5]
22,33,24,35 -> 53 (10000) [5]
22,33,24,25 -> 53 (10000) [5]
22,33,14 -> 54 (17531) [5]
22,33,14,11 -> 53 (10000) [5]
22,33,14,12 -> 53 (10000) [5]
22,33,14,13 -> 53 (10000) [5]
22,33,14,44 -> 53 (10000) [5]
22,33,14,24 -> 53 (10000) [5]
22,33,14,55 -> 53 (10000) [5]
22,33,14,45 -> 53 (10000) [5]
22,33,14,35 -> 53 (10000) [5]
22,33,14,25 -> 53 (10000) [5]
22,33,14,15 -> 53 (10000) [5]
22,33,55 -> 54 (19526) [5]
22,33,55,11 -> 53 (10000) [5]
22,33,55,12 -> 53 (10000) [5]
22,33,55,13 -> 53 (10000) [5]
22,33,55,24 -> 53 (10000) [5]
22,33,55,14 -> 53 (10000) [5]
22,33,55,45 -> 53 (10000) [5]
22,33,55,35 -> 53 (10000) [5]
22,33,55,25 -> 53 (10000) [5]
22,33,55,15 -> 53 (10000) [5]
22,33,45,12 -> 53 (10000) [5]
22,33,45,13 -> 53 (10000) [5]
22,33,45,24 -> 53 (10000) [5]
22,33,45,14 -> 53 (10000) [5]
22,33,45,35 -> 53 (10000) [5]
22,33,45,25 -> 53 (10000) [5]
22,33,45,15 -> 53 (10000) [5]
22,33,35 -> 54 (19961) [5]
22,33,35,11 -> 53 (10000) [5]
22,33,35,12 -> 53 (10000) [5]
22,33,35,13 -> 53 (10000) [5]
22,33,35,44 -> 53 (10000) [5]
22,33,35,24 -> 53 (10000) [5]
22,33,35,14 -> 53 (10000) [5]
22,33,35,55 -> 53 (10000) [5]
22,33,35,45 -> 53 (10000) [5]
22,33,35,25 -> 53 (10000) [5]
22,33,35,15 -> 53 (10000) [5]
22,33,25 -> 54 (19471) [5]
22,33,25,11 -> 53 (10000) [5]
22,33,25,12 -> 53 (10000) [5]
22,33,25,13 -> 53 (10000) [5]
22,33,25,44 -> 53 (10000) [5]
22,33,25,24 -> 53 (10000) [5]
22,33,25,14 -> 53 (10000) [5]
22,33,25,55 -> 53 (10000) [5]
22,33,25,45 -> 53 (10000) [5]
22,33,25,35 -> 53 (10000) [5]
22,33,25,15 -> 53 (10000) [5]
22,33,15 -> 54 (16881) [5]
22,33,15,11 -> 53 (10000) [5]
22,33,15,12 -> 53 (10000) [5]
22,33,15,13 -> 53 (10000) [5]
22,33,15,44 -> 53 (10000) [5]
22,33,15,14 -> 53 (10000) [5]
22,33,15,55 -> 53 (10000) [5]
22,33,15,45 -> 53 (10000) [5]
22,33,15,35 -> 53 (10000) [5]
22,33,15,25 -> 53 (10000) [5]
33,22,12,42 -> 32 (-2929) [5]
33,22,12,41 -> 42 (10000) [5]
33,22,12,31 -> 42 (10000) [5]
33,22,12,21 -> 42 (10000) [5]
33,22,12,11 -> 42 (10000) [5]
33,22,15 -> 21 (4022) [5]
33,22,15,45 -> 35 (1389) [5]
33,22,15,44 -> 35 (10000) [5]
33,22,15,43 -> 35 (10000) [5]
33,22,15,41 -> 45 (2324) [5]
33,22,15,35 -> 12 (1859) [5]
33,22,15,34 -> 45 (10000) [5]
33,22,15,32 -> 45 (10000) [5]
33,22,15,31 -> 14 (2534) [5]
33,22,15,24 -> 23 (3381) [5]
33,22,15,23 -> 35 (10000) [5]
33,22,15,14 -> 45 (1914) [5]
33,22,15,13 -> 41 (3519) [5]
33,22,15,12 -> 41 (2534) [5]
33,22,15,11 -> 45 (1924) [5]
33,22,14,45 -> 43 (10000) [5]
33,22,14,35 -> 43 (10000) [5]
33,22,14,32 -> 43 (10000) [5]
33,22,14,24 -> 43 (10000) [5]
33,22,14,15 -> 43 (10000) [5]
33,22,14,13 -> 43 (10000) [5]
33,22,13,35 -> 23 (10000) [5]
33,22,13,32 -> 35 (10000) [5]
33,22,13,24 -> 35 (10000) [5]
33,22,13,15 -> 35 (10000) [5]
33,22,13,14 -> 35 (10000) [5]
33,22,12,45 -> 43 (10000) [5]
33,22,12,35 -> 43 (10000) [5]
33,22,12,24 -> 43 (10000) [5]
33,22,12,15 -> 43 (10000) [5]
33,22,11 -> 23 (10000) [5]
33,22,11,45 -> 43 (10000) [5]
33,22,11,44 -> 43 (10000) [5]
33,22,11,34 -> 54 (10000) [5]
33,22,11,14 -> 34 (10000) [5]
33,22,11,35 -> 43 (10000) [5]
33,22,11,23 -> 34 (10000) [5]
33,22,11,13 -> 34 (10000) [5]
33,22,11,24 -> 43 (10000) [5]
33,22,11,12 -> 34 (10000) [5]
33,22,11,15 -> 43 (10000) [5]
11,33 -> 25 (2857) [5]
11,33,15 -> 21 (5322) [5]
11,33,15,54 -> 24 (3729) [5]
11,33,15,44 -> 24 (21193) [5]
11,33,15,14 -> 54 (10000) [5]
11,33,15,53 -> 54 (7541) [5]
11,33,15,13 -> 54 (15996) [5]
11,33,15,42 -> 24 (10000) [5]
11,33,15,22 -> 54 (10000) [5]
11,33,15,12 -> 54 (10000) [5]
11,33,15,51 -> 54 (17316) [5]
11,33,15,41 -> 54 (10000) [5]
11,33,15,31 -> 32 (59) [5]
11,33,45 -> 13 (989) [5]
11,33,45,51 -> 14 (10000) [5]
11,33,45,42 -> 44 (4949) [5]
11,33,45,41 -> 24 (5914) [5]
11,33,45,35 -> 14 (10000) [5]
11,33,45,31 -> 14 (10000) [5]
11,33,45,24 -> 14 (10000) [5]
11,33,45,22 -> 14 (10000) [5]
11,33,45,21 -> 14 (10000) [5]
11,33,45,15 -> 14 (10000) [5]
11,33,45,14 -> 22 (1339) [5]
