# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
11,33,45,55,53 -> 15 (-10000) [6]
11,33,45,55,41 -> 15 (-10000) [6]
11,33,45,55,54 -> 34 (-723) [6]
11,33,45,55,51 -> 15 (-10000) [6]
11,33,45,54 -> 15 (-10000) [6]
11,33,45,54,53 -> 22 (-10000) [6]
11,33,45,54,52 -> 31 (-10000) [6]
11,33,45,54,41 -> 31 (-10000) [6]
11,33,45,54,55 -> 34 (-968) [6]
11,33,45,54,51 -> 22 (-10000) [6]
11,33,35,45,41 -> 43 (10000) [6]
11,33,35,45,42 -> 43 (10000) [6]
11,33,35,45,44 -> 43 (10000) [6]
11,33,35,55 -> 32 (10000) [6]
11,33,35,55,15 -> 22 (10000) [6]
11,33,35,55,53 -> 43 (10000) [6]
11,33,35,55,41 -> 15 (10000) [6]
11,33,35,55,42 -> 15 (10000) [6]
11,33,35,55,51 -> 41 (22531) [6]
11,33,35,41 -> 32 (3872) [6]
11,33,35,41,53 -> 43 (10000) [6]
11,33,35,41,42 -> 15 (10000) [6]
11,33,35,41,55 -> 15 (10000) [6]
11,33,35,41,45 -> 34 (10000) [6]
11,33,35,41,51 -> 31 (10000) [6]
11,33,35,54,41 -> 22 (10000) [6]
11,33,35,54,42 -> 15 (10000) [6]
11,33,35,54,45 -> 34 (10000) [6]
11,33,35,53 -> 43 (10000) [6]
11,33,35,53,51 -> 34 (10000) [6]
11,33,35,53,55 -> 34 (10000) [6]
11,33,35,53,41 -> 34 (10000) [6]
11,33,35,53,42 -> 34 (10000) [6]
11,33,35,53,45 -> 34 (10000) [6]
11,33,14 -> 13 (-10000) [6]
11,33,14,45 -> 23 (-10000) [6]
11,33,14,45,55 -> 25 (10000) [6]
11,33,14,45,35 -> 51 (-10000) [6]
11,33,14,45,15 -> 25 (10000) [6]
11,33,14,45,25 -> 54 (1204) [6]
11,33,14,45,54 -> 51 (-10000) [6]
11,33,14,53 -> 51 (-10000) [6]
11,33,14,53,24 -> 23 (-10000) [6]
11,33,14,53,35 -> 23 (-10000) [6]
11,33,14,53,54 -> 23 (-10000) [6]
11,33,14,53,45 -> 23 (-10000) [6]
11,33,14,53,25 -> 23 (-10000) [6]
11,33,14,24 -> 51 (-10000) [6]
11,33,14,24,53 -> 23 (-10000) [6]
11,33,14,24,44 -> 23 (-10000) [6]
11,33,14,24,54 -> 23 (-10000) [6]
11,33,14,24,25 -> 23 (-10000) [6]
11,33,14,24,35 -> 23 (-10000) [6]
11,33,14,35 -> 23 (-10000) [6]
11,33,14,35,55 -> 51 (-10000) [6]
11,33,14,35,53 -> 51 (-10000) [6]
11,33,14,35,15 -> 51 (-10000) [6]
11,33,14,35,25 -> 51 (-10000) [6]
11,33,14,35,54 -> 51 (-10000) [6]
11,33,14,54 -> 23 (-10000) [6]
11,33,14,54,55 -> 51 (-10000) [6]
11,33,14,54,25 -> 51 (-10000) [6]
11,33,14,54,35 -> 51 (-10000) [6]
11,33,14,54,45 -> 51 (-10000) [6]
11,33,14,54,15 -> 51 (-10000) [6]
11,33,45,54,35 -> 34 (10000) [6]
11,33,45,54,14 -> 34 (10000) [6]
11,33,45,54,24 -> 34 (10000) [6]
11,33,45,35 -> 34 (10000) [6]
11,33,45,35,54 -> 43 (10000) [6]
11,33,45,35,15 -> 43 (10000) [6]
11,33,45,35,53 -> 43 (10000) [6]
11,33,45,35,14 -> 43 (10000) [6]
11,33,45,35,24 -> 43 (10000) [6]
11,33,45,53,14 -> 22 (10000) [6]
11,33,45,53,24 -> 51 (10000) [6]
11,33,45,53,54 -> 43 (10000) [6]
11,33,45,14 -> 23 (2762) [6]
11,33,45,14,35 -> 34 (10000) [6]
11,33,45,14,53 -> 22 (10000) [6]
11,33,45,14,24 -> 51 (10000) [6]
11,33,45,14,15 -> 13 (10000) [6]
11,33,45,14,54 -> 43 (10000) [6]
11,33,45,24 -> 23 (10000) [6]
11,33,45,24,51 -> 22 (10000) [6]
11,33,45,24,54 -> 43 (10000) [6]
